period,y,YrMean,Seasonality(Y-YrMean),Trend(MA12),Y-(Seas+Trend),L1,AR1,L2,AR2,L3,AR3
01/01/1949,112,127.4545455,-15.45454545,9.333333333,118.1212121,0,0,0,0,0,0
01/02/1949,118,127.4545455,-9.454545455,19.16666667,108.2878788,118.1212121,-9.833333333,0,108.2878788,0,0
01/03/1949,132,127.4545455,4.545454545,30.16666667,97.28787879,108.2878788,-11,118.1212121,-20.83333333,0,0
01/04/1949,129,127.4545455,1.545454545,40.91666667,86.53787879,97.28787879,-10.75,108.2878788,-21.75,118.1212121,-31.58333333
01/05/1949,121,127.4545455,-6.454545455,51,76.45454545,86.53787879,-10.08333333,97.28787879,-20.83333333,108.2878788,-31.83333333
01/06/1949,135,127.4545455,7.545454545,62.25,65.20454545,76.45454545,-11.25,86.53787879,-21.33333333,97.28787879,-32.08333333
01/07/1949,148,127.4545455,20.54545455,74.58333333,52.87121212,65.20454545,-12.33333333,76.45454545,-23.58333333,86.53787879,-33.66666667
01/08/1949,148,127.4545455,20.54545455,86.91666667,40.53787879,52.87121212,-12.33333333,65.20454545,-24.66666667,76.45454545,-35.91666667
01/09/1949,136,127.4545455,8.545454545,98.25,29.20454545,40.53787879,-11.33333333,52.87121212,-23.66666667,65.20454545,-36
01/10/1949,119,127.4545455,-8.454545455,108.1666667,19.28787879,29.20454545,-9.916666667,40.53787879,-21.25,52.87121212,-33.58333333
01/11/1949,104,127.4545455,-23.45454545,116.8333333,10.62121212,19.28787879,-8.666666667,29.20454545,-18.58333333,40.53787879,-29.91666667
01/12/1949,118,127.4545455,-9.454545455,126.6666667,0.787878788,10.62121212,-9.833333333,19.28787879,-18.5,29.20454545,-28.41666667
01/01/1950,115,139.6363636,-24.63636364,126.9166667,12.71969697,0.787878788,11.93181818,10.62121212,2.098484848,19.28787879,-6.568181818
01/02/1950,126,139.6363636,-13.63636364,127.5833333,12.0530303,12.71969697,-0.666666667,0.787878788,11.26515152,10.62121212,1.431818182
01/03/1950,141,139.6363636,1.363636364,128.3333333,11.3030303,12.0530303,-0.75,12.71969697,-1.416666667,0.787878788,10.51515152
01/04/1950,135,139.6363636,-4.636363636,128.8333333,10.8030303,11.3030303,-0.5,12.0530303,-1.25,12.71969697,-1.916666667
01/05/1950,125,139.6363636,-14.63636364,129.1666667,10.46969697,10.8030303,-0.333333333,11.3030303,-0.833333333,12.0530303,-1.583333333
01/06/1950,149,139.6363636,9.363636364,130.3333333,9.303030303,10.46969697,-1.166666667,10.8030303,-1.5,11.3030303,-2
01/07/1950,170,139.6363636,30.36363636,132.1666667,7.46969697,9.303030303,-1.833333333,10.46969697,-3,10.8030303,-3.333333333
01/08/1950,170,139.6363636,30.36363636,134,5.636363636,7.46969697,-1.833333333,9.303030303,-3.666666667,10.46969697,-4.833333333
01/09/1950,158,139.6363636,18.36363636,135.8333333,3.803030303,5.636363636,-1.833333333,7.46969697,-3.666666667,9.303030303,-5.5
01/10/1950,133,139.6363636,-6.636363636,137,2.636363636,3.803030303,-1.166666667,5.636363636,-3,7.46969697,-4.833333333
01/11/1950,114,139.6363636,-25.63636364,137.8333333,1.803030303,2.636363636,-0.833333333,3.803030303,-2,5.636363636,-3.833333333
01/12/1950,140,139.6363636,0.363636364,139.6666667,-0.03030303,1.803030303,-1.833333333,2.636363636,-2.666666667,3.803030303,-3.833333333
01/01/1951,145,170.5454545,-25.54545455,142.1666667,28.37878788,-0.03030303,28.40909091,1.803030303,26.57575758,2.636363636,25.74242424
01/02/1951,150,170.5454545,-20.54545455,144.1666667,26.37878788,28.37878788,-2,-0.03030303,26.40909091,1.803030303,24.57575758
01/03/1951,178,170.5454545,7.454545455,147.25,23.29545455,26.37878788,-3.083333333,28.37878788,-5.083333333,-0.03030303,23.32575758
01/04/1951,163,170.5454545,-7.545454545,149.5833333,20.96212121,23.29545455,-2.333333333,26.37878788,-5.416666667,28.37878788,-7.416666667
01/05/1951,172,170.5454545,1.454545455,153.5,17.04545455,20.96212121,-3.916666667,23.29545455,-6.25,26.37878788,-9.333333333
01/06/1951,178,170.5454545,7.454545455,155.9166667,14.62878788,17.04545455,-2.416666667,20.96212121,-6.333333333,23.29545455,-8.666666667
01/07/1951,199,170.5454545,28.45454545,158.3333333,12.21212121,14.62878788,-2.416666667,17.04545455,-4.833333333,20.96212121,-8.75
01/08/1951,199,170.5454545,28.45454545,160.75,9.795454545,12.21212121,-2.416666667,14.62878788,-4.833333333,17.04545455,-7.25
01/09/1951,184,170.5454545,13.45454545,162.9166667,7.628787879,9.795454545,-2.166666667,12.21212121,-4.583333333,14.62878788,-7
01/10/1951,162,170.5454545,-8.545454545,165.3333333,5.212121212,7.628787879,-2.416666667,9.795454545,-4.583333333,12.21212121,-7
01/11/1951,146,170.5454545,-24.54545455,168,2.545454545,5.212121212,-2.666666667,7.628787879,-5.083333333,9.795454545,-7.25
01/12/1951,166,170.5454545,-4.545454545,170.1666667,0.378787879,2.545454545,-2.166666667,5.212121212,-4.833333333,7.628787879,-7.25
01/01/1952,171,197.2727273,-26.27272727,172.3333333,24.93939394,0.378787879,24.56060606,2.545454545,22.39393939,5.212121212,19.72727273
01/02/1952,180,197.2727273,-17.27272727,174.8333333,22.43939394,24.93939394,-2.5,0.378787879,22.06060606,2.545454545,19.89393939
01/03/1952,193,197.2727273,-4.272727273,176.0833333,21.18939394,22.43939394,-1.25,24.93939394,-3.75,0.378787879,20.81060606
01/04/1952,181,197.2727273,-16.27272727,177.5833333,19.68939394,21.18939394,-1.5,22.43939394,-2.75,24.93939394,-5.25
01/05/1952,183,197.2727273,-14.27272727,178.5,18.77272727,19.68939394,-0.916666667,21.18939394,-2.416666667,22.43939394,-3.666666667
01/06/1952,218,197.2727273,20.72727273,181.8333333,15.43939394,18.77272727,-3.333333333,19.68939394,-4.25,21.18939394,-5.75
01/07/1952,230,197.2727273,32.72727273,184.4166667,12.85606061,15.43939394,-2.583333333,18.77272727,-5.916666667,19.68939394,-6.833333333
01/08/1952,242,197.2727273,44.72727273,188,9.272727273,12.85606061,-3.583333333,15.43939394,-6.166666667,18.77272727,-9.5
01/09/1952,209,197.2727273,11.72727273,190.0833333,7.189393939,9.272727273,-2.083333333,12.85606061,-5.666666667,15.43939394,-8.25
01/10/1952,191,197.2727273,-6.272727273,192.5,4.772727273,7.189393939,-2.416666667,9.272727273,-4.5,12.85606061,-8.083333333
01/11/1952,172,197.2727273,-25.27272727,194.6666667,2.606060606,4.772727273,-2.166666667,7.189393939,-4.583333333,9.272727273,-6.666666667
01/12/1952,194,197.2727273,-3.272727273,197,0.272727273,2.606060606,-2.333333333,4.772727273,-4.5,7.189393939,-6.916666667
01/01/1953,196,227.1818182,-31.18181818,199.0833333,28.09848485,0.272727273,27.82575758,2.606060606,25.49242424,4.772727273,23.32575758
01/02/1953,196,227.1818182,-31.18181818,200.4166667,26.76515152,28.09848485,-1.333333333,0.272727273,26.49242424,2.606060606,24.15909091
01/03/1953,236,227.1818182,8.818181818,204,23.18181818,26.76515152,-3.583333333,28.09848485,-4.916666667,0.272727273,22.90909091
01/04/1953,235,227.1818182,7.818181818,208.5,18.68181818,23.18181818,-4.5,26.76515152,-8.083333333,28.09848485,-9.416666667
01/05/1953,229,227.1818182,1.818181818,212.3333333,14.84848485,18.68181818,-3.833333333,23.18181818,-8.333333333,26.76515152,-11.91666667
01/06/1953,243,227.1818182,15.81818182,214.4166667,12.76515152,14.84848485,-2.083333333,18.68181818,-5.916666667,23.18181818,-10.41666667
01/07/1953,264,227.1818182,36.81818182,217.25,9.931818182,12.76515152,-2.833333333,14.84848485,-4.916666667,18.68181818,-8.75
01/08/1953,272,227.1818182,44.81818182,219.75,7.431818182,9.931818182,-2.5,12.76515152,-5.333333333,14.84848485,-7.416666667
01/09/1953,237,227.1818182,9.818181818,222.0833333,5.098484848,7.431818182,-2.333333333,9.931818182,-4.833333333,12.76515152,-7.666666667
01/10/1953,211,227.1818182,-16.18181818,223.75,3.431818182,5.098484848,-1.666666667,7.431818182,-4,9.931818182,-6.5
01/11/1953,180,227.1818182,-47.18181818,224.4166667,2.765151515,3.431818182,-0.666666667,5.098484848,-2.333333333,7.431818182,-4.666666667
01/12/1953,201,227.1818182,-26.18181818,225,2.181818182,2.765151515,-0.583333333,3.431818182,-1.25,5.098484848,-2.916666667
01/01/1954,204,239.8181818,-35.81818182,225.6666667,14.15151515,2.181818182,11.96969697,2.765151515,11.38636364,3.431818182,10.71969697
01/02/1954,188,239.8181818,-51.81818182,225,14.81818182,14.15151515,0.666666667,2.181818182,12.63636364,2.765151515,12.0530303
01/03/1954,235,239.8181818,-4.818181818,224.9166667,14.90151515,14.81818182,0.083333333,14.15151515,0.75,2.181818182,12.71969697
01/04/1954,227,239.8181818,-12.81818182,224.25,15.56818182,14.90151515,0.666666667,14.81818182,0.75,14.15151515,1.416666667
01/05/1954,234,239.8181818,-5.818181818,224.6666667,15.15151515,15.56818182,-0.416666667,14.90151515,0.25,14.81818182,0.333333333
01/06/1954,264,239.8181818,24.18181818,226.4166667,13.40151515,15.15151515,-1.75,15.56818182,-2.166666667,14.90151515,-1.5
01/07/1954,302,239.8181818,62.18181818,229.5833333,10.23484848,13.40151515,-3.166666667,15.15151515,-4.916666667,15.56818182,-5.333333333
01/08/1954,293,239.8181818,53.18181818,231.3333333,8.484848485,10.23484848,-1.75,13.40151515,-4.916666667,15.15151515,-6.666666667
01/09/1954,259,239.8181818,19.18181818,233.1666667,6.651515152,8.484848485,-1.833333333,10.23484848,-3.583333333,13.40151515,-6.75
01/10/1954,229,239.8181818,-10.81818182,234.6666667,5.151515152,6.651515152,-1.5,8.484848485,-3.333333333,10.23484848,-5.083333333
01/11/1954,203,239.8181818,-36.81818182,236.5833333,3.234848485,5.151515152,-1.916666667,6.651515152,-3.416666667,8.484848485,-5.25
01/12/1954,229,239.8181818,-10.81818182,238.9166667,0.901515152,3.234848485,-2.333333333,5.151515152,-4.25,6.651515152,-5.75
01/01/1955,242,284.5454545,-42.54545455,242.0833333,42.46212121,0.901515152,41.56060606,3.234848485,39.22727273,5.151515152,37.31060606
01/02/1955,233,284.5454545,-51.54545455,245.8333333,38.71212121,42.46212121,-3.75,0.901515152,37.81060606,3.234848485,35.47727273
01/03/1955,267,284.5454545,-17.54545455,248.5,36.04545455,38.71212121,-2.666666667,42.46212121,-6.416666667,0.901515152,35.14393939
01/04/1955,269,284.5454545,-15.54545455,252,32.54545455,36.04545455,-3.5,38.71212121,-6.166666667,42.46212121,-9.916666667
01/05/1955,270,284.5454545,-14.54545455,255,29.54545455,32.54545455,-3,36.04545455,-6.5,38.71212121,-9.166666667
01/06/1955,315,284.5454545,30.45454545,259.25,25.29545455,29.54545455,-4.25,32.54545455,-7.25,36.04545455,-10.75
01/07/1955,364,284.5454545,79.45454545,264.4166667,20.12878788,25.29545455,-5.166666667,29.54545455,-9.416666667,32.54545455,-12.41666667
01/08/1955,347,284.5454545,62.45454545,268.9166667,15.62878788,20.12878788,-4.5,25.29545455,-9.666666667,29.54545455,-13.91666667
01/09/1955,312,284.5454545,27.45454545,273.3333333,11.21212121,15.62878788,-4.416666667,20.12878788,-8.916666667,25.29545455,-14.08333333
01/10/1955,274,284.5454545,-10.54545455,277.0833333,7.462121212,11.21212121,-3.75,15.62878788,-8.166666667,20.12878788,-12.66666667
01/11/1955,237,284.5454545,-47.54545455,279.9166667,4.628787879,7.462121212,-2.833333333,11.21212121,-6.583333333,15.62878788,-11
01/12/1955,278,284.5454545,-6.545454545,284,0.545454545,4.628787879,-4.083333333,7.462121212,-6.916666667,11.21212121,-10.66666667
01/01/1956,284,330.2727273,-46.27272727,287.5,42.77272727,0.545454545,42.22727273,4.628787879,38.14393939,7.462121212,35.31060606
01/02/1956,277,330.2727273,-53.27272727,291.1666667,39.10606061,42.77272727,-3.666666667,0.545454545,38.56060606,4.628787879,34.47727273
01/03/1956,317,330.2727273,-13.27272727,295.3333333,34.93939394,39.10606061,-4.166666667,42.77272727,-7.833333333,0.545454545,34.39393939
01/04/1956,313,330.2727273,-17.27272727,299,31.27272727,34.93939394,-3.666666667,39.10606061,-7.833333333,42.77272727,-11.5
01/05/1956,318,330.2727273,-12.27272727,303,27.27272727,31.27272727,-4,34.93939394,-7.666666667,39.10606061,-11.83333333
01/06/1956,374,330.2727273,43.72727273,307.9166667,22.35606061,27.27272727,-4.916666667,31.27272727,-8.916666667,34.93939394,-12.58333333
01/07/1956,413,330.2727273,82.72727273,312,18.27272727,22.35606061,-4.083333333,27.27272727,-9,31.27272727,-13
01/08/1956,405,330.2727273,74.72727273,316.8333333,13.43939394,18.27272727,-4.833333333,22.35606061,-8.916666667,27.27272727,-13.83333333
01/09/1956,355,330.2727273,24.72727273,320.4166667,9.856060606,13.43939394,-3.583333333,18.27272727,-8.416666667,22.35606061,-12.5
01/10/1956,306,330.2727273,-24.27272727,323.0833333,7.189393939,9.856060606,-2.666666667,13.43939394,-6.25,18.27272727,-11.08333333
01/11/1956,271,330.2727273,-59.27272727,325.9166667,4.356060606,7.189393939,-2.833333333,9.856060606,-5.5,13.43939394,-9.083333333
01/12/1956,306,330.2727273,-24.27272727,328.25,2.022727273,4.356060606,-2.333333333,7.189393939,-5.166666667,9.856060606,-7.833333333
01/01/1957,315,371.3636364,-56.36363636,330.8333333,40.53030303,2.022727273,38.50757576,4.356060606,36.17424242,7.189393939,33.34090909
01/02/1957,301,371.3636364,-70.36363636,332.8333333,38.53030303,40.53030303,-2,2.022727273,36.50757576,4.356060606,34.17424242
01/03/1957,356,371.3636364,-15.36363636,336.0833333,35.28030303,38.53030303,-3.25,40.53030303,-5.25,2.022727273,33.25757576
01/04/1957,348,371.3636364,-23.36363636,339,32.36363636,35.28030303,-2.916666667,38.53030303,-6.166666667,40.53030303,-8.166666667
01/05/1957,355,371.3636364,-16.36363636,342.0833333,29.28030303,32.36363636,-3.083333333,35.28030303,-6,38.53030303,-9.25
01/06/1957,422,371.3636364,50.63636364,346.0833333,25.28030303,29.28030303,-4,32.36363636,-7.083333333,35.28030303,-10
01/07/1957,465,371.3636364,93.63636364,350.4166667,20.9469697,25.28030303,-4.333333333,29.28030303,-8.333333333,32.36363636,-11.41666667
01/08/1957,467,371.3636364,95.63636364,355.5833333,15.78030303,20.9469697,-5.166666667,25.28030303,-9.5,29.28030303,-13.5
01/09/1957,404,371.3636364,32.63636364,359.6666667,11.6969697,15.78030303,-4.083333333,20.9469697,-9.25,25.28030303,-13.58333333
01/10/1957,347,371.3636364,-24.36363636,363.0833333,8.28030303,11.6969697,-3.416666667,15.78030303,-7.5,20.9469697,-12.66666667
01/11/1957,305,371.3636364,-66.36363636,365.9166667,5.446969697,8.28030303,-2.833333333,11.6969697,-6.25,15.78030303,-10.33333333
01/12/1957,336,371.3636364,-35.36363636,368.4166667,2.946969697,5.446969697,-2.5,8.28030303,-5.333333333,11.6969697,-8.75
01/01/1958,340,385,-45,370.5,14.5,2.946969697,11.5530303,5.446969697,9.053030303,8.28030303,6.21969697
01/02/1958,318,385,-67,371.9166667,13.08333333,14.5,-1.416666667,2.946969697,10.13636364,5.446969697,7.636363636
01/03/1958,362,385,-23,372.4166667,12.58333333,13.08333333,-0.5,14.5,-1.916666667,2.946969697,9.636363636
01/04/1958,348,385,-37,372.4166667,12.58333333,12.58333333,0,13.08333333,-0.5,14.5,-1.916666667
01/05/1958,363,385,-22,373.0833333,11.91666667,12.58333333,-0.666666667,12.58333333,-0.666666667,13.08333333,-1.166666667
01/06/1958,435,385,50,374.1666667,10.83333333,11.91666667,-1.083333333,12.58333333,-1.75,12.58333333,-1.75
01/07/1958,491,385,106,376.3333333,8.666666667,10.83333333,-2.166666667,11.91666667,-3.25,12.58333333,-3.916666667
01/08/1958,505,385,120,379.5,5.5,8.666666667,-3.166666667,10.83333333,-5.333333333,11.91666667,-6.416666667
01/09/1958,404,385,19,379.5,5.5,5.5,0,8.666666667,-3.166666667,10.83333333,-5.333333333
01/10/1958,359,385,-26,380.5,4.5,5.5,-1,5.5,-1,8.666666667,-4.166666667
01/11/1958,310,385,-75,380.9166667,4.083333333,4.5,-0.416666667,5.5,-1.416666667,5.5,-1.416666667
01/12/1958,337,385,-48,381,4,4.083333333,-0.083333333,4.5,-0.5,5.5,-1.5
01/01/1959,360,430.4545455,-70.45454545,382.6666667,47.78787879,4,43.78787879,4.083333333,43.70454545,4.5,43.28787879
01/02/1959,342,430.4545455,-88.45454545,384.6666667,45.78787879,47.78787879,-2,4,41.78787879,4.083333333,41.70454545
01/03/1959,406,430.4545455,-24.45454545,388.3333333,42.12121212,45.78787879,-3.666666667,47.78787879,-5.666666667,4,38.12121212
01/04/1959,396,430.4545455,-34.45454545,392.3333333,38.12121212,42.12121212,-4,45.78787879,-7.666666667,47.78787879,-9.666666667
01/05/1959,420,430.4545455,-10.45454545,397.0833333,33.37121212,38.12121212,-4.75,42.12121212,-8.75,45.78787879,-12.41666667
01/06/1959,472,430.4545455,41.54545455,400.1666667,30.28787879,33.37121212,-3.083333333,38.12121212,-7.833333333,42.12121212,-11.83333333
01/07/1959,548,430.4545455,117.5454545,404.9166667,25.53787879,30.28787879,-4.75,33.37121212,-7.833333333,38.12121212,-12.58333333
01/08/1959,559,430.4545455,128.5454545,409.4166667,21.03787879,25.53787879,-4.5,30.28787879,-9.25,33.37121212,-12.33333333
01/09/1959,463,430.4545455,32.54545455,414.3333333,16.12121212,21.03787879,-4.916666667,25.53787879,-9.416666667,30.28787879,-14.16666667
01/10/1959,407,430.4545455,-23.45454545,418.3333333,12.12121212,16.12121212,-4,21.03787879,-8.916666667,25.53787879,-13.41666667
01/11/1959,362,430.4545455,-68.45454545,422.6666667,7.787878788,12.12121212,-4.333333333,16.12121212,-8.333333333,21.03787879,-13.25
01/12/1959,405,430.4545455,-25.45454545,428.3333333,2.121212121,7.787878788,-5.666666667,12.12121212,-10,16.12121212,-14
01/01/1960,417,480.1818182,-63.18181818,433.0833333,47.09848485,2.121212121,44.97727273,7.787878788,39.31060606,12.12121212,34.97727273
01/02/1960,391,480.1818182,-89.18181818,437.1666667,43.01515152,47.09848485,-4.083333333,2.121212121,40.89393939,7.787878788,35.22727273
01/03/1960,419,480.1818182,-61.18181818,438.25,41.93181818,43.01515152,-1.083333333,47.09848485,-5.166666667,2.121212121,39.81060606
01/04/1960,461,480.1818182,-19.18181818,443.6666667,36.51515152,41.93181818,-5.416666667,43.01515152,-6.5,47.09848485,-10.58333333
01/05/1960,472,480.1818182,-8.181818182,448,32.18181818,36.51515152,-4.333333333,41.93181818,-9.75,43.01515152,-10.83333333
01/06/1960,535,480.1818182,54.81818182,453.25,26.93181818,32.18181818,-5.25,36.51515152,-9.583333333,41.93181818,-15
01/07/1960,622,480.1818182,141.8181818,459.4166667,20.76515152,26.93181818,-6.166666667,32.18181818,-11.41666667,36.51515152,-15.75
01/08/1960,606,480.1818182,125.8181818,463.3333333,16.84848485,20.76515152,-3.916666667,26.93181818,-10.08333333,32.18181818,-15.33333333
01/09/1960,508,480.1818182,27.81818182,467.0833333,13.09848485,16.84848485,-3.75,20.76515152,-7.666666667,26.93181818,-13.83333333
01/10/1960,461,480.1818182,-19.18181818,471.5833333,8.598484848,13.09848485,-4.5,16.84848485,-8.25,20.76515152,-12.16666667
01/11/1960,390,480.1818182,-90.18181818,473.9166667,6.265151515,8.598484848,-2.333333333,13.09848485,-6.833333333,16.84848485,-10.58333333
01/12/1960,432,480.1818182,-48.18181818,476.1666667,4.015151515,6.265151515,-2.25,8.598484848,-4.583333333,13.09848485,-9.083333333
